City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
537,Berthierville,CA,73.33,broken clouds,46.0834,-73.1824,Days Inn by Wyndham Berthierville
538,College,US,71.8,few clouds,64.8569,-147.8028,Pike's Waterfront Lodge
541,Huangpi,CN,84.31,clear sky,30.8845,114.3779,Xinxing Lidu Hotel
542,Tefe,BR,84.31,few clouds,-3.3542,-64.7114,Aracati Hotel
546,Pala,TD,75.52,overcast clouds,9.3642,14.9046,Nectar Hôtel de Pala
547,Shangqiu,CN,73.87,light rain,34.45,115.65,Thank Inn Chain Hotel henan shangqiu railway station ticket shop
548,Mato Verde,BR,82.31,broken clouds,-15.3972,-42.8664,Quality Hotel
552,Buala,SB,77.99,light rain,-8.145,159.5921,Maringe Lagoon Lodge
553,Shimoda,JP,78.1,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
555,Vilhena,BR,82.62,clear sky,-12.7406,-60.1458,Hotel Mirage
558,Ugoofaaru,MV,83.37,overcast clouds,5.6667,73.0,Ungoofaaru Inn
559,Kudahuvadhoo,MV,81.52,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
561,Zheleznodorozhnyy,RU,84.61,broken clouds,55.7503,38.0042,Hotel Dali
569,Auki,SB,74.16,scattered clouds,-8.7676,160.7034,Auki Motel
570,Puerto Carreno,CO,72.63,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
571,Caravelas,BR,74.37,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
575,Sasvad,IN,70.45,overcast clouds,18.3333,74.0333,Adsul Farm
576,Sechura,PE,76.6,clear sky,-5.5569,-80.8222,Hospedaje Costa Bella
579,Auburn,US,76.3,few clouds,47.3073,-122.2284,La Quinta Inn & Suites by Wyndham Auburn
581,Hauterive,FR,74.16,overcast clouds,46.0901,3.4459,Aletti Palace Hotel
583,Coshocton,US,76.28,clear sky,40.272,-81.8596,Roscoe Motor Inn
592,Quchan,IR,74.48,few clouds,37.106,58.5095,گلیم دستبافت کیمیایی
594,Kotaparh,IN,73.83,few clouds,19.15,82.35,Bablu Bikash Marg
595,Batticaloa,LK,82.62,overcast clouds,7.7102,81.6924,Grand Star Guest House
598,Bonthe,SL,80.89,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
599,Wukari,NG,79.12,light rain,7.85,9.7833,Elimtop
604,Kuah,MY,82.38,few clouds,6.3265,99.8432,Azio Hotel
608,Sioux Lookout,CA,75.27,smoke,50.1001,-91.917,Knobby's Fly-In Camps
609,Santa Rita,BR,75.87,broken clouds,-7.1139,-34.9781,Infinity Motel
610,Fallon,US,82.27,smoke,39.4735,-118.7774,Best Western Fallon Inn & Suites
611,Kanigoro,ID,73.06,overcast clouds,-8.13,112.219,Musafer Villa ( Villa Erlin )
612,Puerto Del Rosario,ES,78.48,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
613,Manokwari,ID,78.57,few clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
615,Sinnamary,GF,84.7,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
619,Hirara,JP,81.59,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
623,Lata,PT,83.05,broken clouds,40.1629,-8.3327,Casa Maquia
624,Dafeng,CN,82.8,scattered clouds,23.4517,108.5881,Shenglong Hotel
628,Muroto,JP,79.45,broken clouds,33.2833,134.15,Oota Ryokan
630,Hachinohe,JP,75.81,broken clouds,40.5,141.5,Hachinohe Grand Hotel
632,Piacabucu,BR,77.81,few clouds,-10.4056,-36.4344,Piaçabuçu News
634,Stephenville,US,78.24,overcast clouds,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
638,Garowe,SO,83.77,overcast clouds,8.4054,48.4845,Curubo Hotel
639,Japura,ID,75.15,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
643,Ninohe,JP,73.89,broken clouds,40.2724,141.3061,Murata Inn
648,Seoul,KR,77.76,few clouds,37.5683,126.9778,롯데호텔 서울
651,Saint Paul,US,82.76,scattered clouds,44.9444,-93.0933,"InterContinental Saint Paul Riverfront, an IHG Hotel"
653,Faya,SA,71.71,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
654,Kuching,MY,75.42,few clouds,1.55,110.3333,The Ranee Boutique Suites
655,Pemangkat,ID,79.81,broken clouds,1.1667,108.9667,Ramah Kost KITA
657,Katsuura,JP,80.71,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
658,La Union,PE,80.87,clear sky,-5.4,-80.75,Los Portales
662,Inongo,CD,77.58,broken clouds,-1.95,18.2667,Hotel Du Lac
664,Mlimba,TZ,70.29,scattered clouds,-8.8,35.8167,California Lodge
665,Isabela,PH,79.12,overcast clouds,6.7085,121.9711,Isawad Resort
666,Bol,TD,80.19,broken clouds,13.4586,14.7147,Hotel 3 Etoiles
667,Port Keats,AU,76.89,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
668,Vila Velha,BR,72.97,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
670,Grimshaw,CA,74.1,overcast clouds,56.1834,-117.6027,Pomeroy Inn & Suites Grimshaw
673,Xuddur,SO,78.44,overcast clouds,4.1213,43.8894,Banjanay Hotel
674,Takoradi,GH,81.25,broken clouds,4.8845,-1.7554,Raybow International Hotel
675,Angoche,MZ,71.44,clear sky,-16.2325,39.9086,Guest House HESADA
677,Ambanja,MG,71.64,light rain,-13.6833,48.45,Hotel Salama and Fast Food
678,Arrifes,PT,73.65,few clouds,37.7667,-25.7,Hotel Ponta Delgada
681,Ranong,TH,79.84,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
689,Richmond,US,82.33,few clouds,37.5538,-77.4603,The Jefferson Hotel
692,Ewa Beach,US,76.95,broken clouds,21.3156,-158.0072,Uncle Junior Robert
