City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Tuatapere,NZ,-46.1333,167.6833,44.82,83,100,5.61,overcast clouds
80,La Ronge,CA,55.1001,-105.2842,80.82,44,40,4.61,smoke
81,Vostok,RU,46.4856,135.8833,65.01,92,49,2.53,scattered clouds
82,Marsh Harbour,BS,26.5412,-77.0636,84.94,72,100,11.07,moderate rain
83,Kargil,IN,34.5667,76.1,62.29,45,43,7.81,scattered clouds
84,New Norfolk,AU,-42.7826,147.0587,47.91,81,99,1.25,overcast clouds
85,Kahului,US,20.8947,-156.47,77.85,84,40,16.11,scattered clouds
86,Tateyama,JP,34.9833,139.8667,80.98,88,95,10.85,overcast clouds
87,Grand Gaube,MU,-20.0064,57.6608,67.37,65,0,3.0,clear sky
88,Alihe,CN,50.5667,123.7167,57.51,96,99,0.49,overcast clouds
89,Bengkulu,ID,-3.8004,102.2655,75.33,90,50,3.04,scattered clouds
90,Nara,JP,34.6851,135.8049,82.26,94,90,4.36,overcast clouds
91,Torbay,CA,47.6666,-52.7314,76.28,50,40,11.5,scattered clouds
92,Buta,CD,2.7858,24.73,77.47,68,100,2.21,overcast clouds
93,Jamestown,US,42.097,-79.2353,72.3,56,40,5.01,scattered clouds
94,East London,ZA,-33.0153,27.9116,58.14,82,20,5.75,few clouds
95,Velyka Lepetykha,UA,47.1757,33.9436,86.23,47,1,11.81,clear sky
96,Georgetown,MY,5.4112,100.3354,83.89,81,20,2.3,few clouds
97,Puerto Ayora,EC,-0.7393,-90.3518,76.96,80,86,11.92,overcast clouds
98,Teguldet,RU,57.3064,88.1667,55.24,82,45,1.92,scattered clouds
99,Pervomayskoye,RU,43.919,46.7102,79.03,42,29,8.21,scattered clouds
100,Aguimes,ES,27.9054,-15.4461,77.67,57,20,32.21,few clouds
101,Port Hedland,AU,-20.3167,118.5667,60.85,23,1,10.36,clear sky
102,San Quintin,MX,30.4833,-115.95,78.1,59,10,11.01,clear sky
103,High Rock,BS,26.6208,-78.2833,84.22,68,100,7.92,moderate rain
104,Shashi,CN,30.3072,112.2447,79.99,93,2,7.49,light rain
105,Leningradskiy,RU,69.3833,178.4167,32.65,98,100,11.14,light snow
106,Palmer,US,42.1584,-72.3287,76.75,58,40,3.0,scattered clouds
107,Mahajanga,MG,-15.7167,46.3167,75.22,73,20,5.75,few clouds
108,Vao,NC,-22.6667,167.4833,66.06,67,9,8.25,clear sky
109,San Patricio,US,28.017,-97.5169,92.88,41,67,5.3,broken clouds
110,Ribeira Grande,PT,38.5167,-28.7,79.2,73,40,10.36,scattered clouds
111,Severo-Kurilsk,RU,50.6789,156.125,50.67,86,89,19.84,overcast clouds
112,Kiliya,UA,45.4552,29.2637,97.36,52,0,16.42,clear sky
113,Richards Bay,ZA,-28.783,32.0377,62.83,87,3,5.95,light rain
114,San Blas,MX,21.5167,-105.2667,87.69,63,63,4.32,broken clouds
115,Hermanus,ZA,-34.4187,19.2345,57.79,87,0,9.19,clear sky
116,Saint Anthony,US,45.0205,-93.218,82.11,44,1,1.01,clear sky
117,Port Macquarie,AU,-31.4333,152.9167,60.76,94,100,14.05,light rain
118,Yima,CN,34.7381,111.8839,72.59,81,9,5.97,clear sky
119,Butaritari,KI,3.0707,172.7902,82.58,73,73,8.5,light rain
120,Mogoytuy,RU,51.2833,114.9167,62.65,81,95,5.55,overcast clouds
121,Upernavik,GL,72.7868,-56.1549,46.11,66,1,5.55,clear sky
122,Cap-Aux-Meules,CA,47.3821,-61.8597,69.85,68,75,10.36,light rain
123,Dali,CN,25.7,100.1833,64.17,84,20,2.08,few clouds
124,Kodiak,US,57.79,-152.4072,53.11,94,90,6.91,fog
125,Oussouye,SN,12.485,-16.5469,82.49,92,100,10.83,moderate rain
126,Caledon,ZA,-34.23,19.4265,55.06,93,2,6.42,clear sky
127,Flinders,AU,-34.5833,150.8552,60.39,80,91,1.99,overcast clouds
128,Hasaki,JP,35.7333,140.8333,79.09,92,99,10.6,overcast clouds
129,Mahebourg,MU,-20.4081,57.7,67.24,82,20,6.91,few clouds
130,Tautira,PF,-17.7333,-149.15,73.0,72,85,15.23,overcast clouds
131,Shihezi,CN,44.3,86.0333,79.81,15,82,6.58,broken clouds
132,Pacific Grove,US,36.6177,-121.9166,74.8,84,90,5.01,overcast clouds
133,Kibala,TD,9.1104,18.3463,85.95,62,40,4.61,scattered clouds
134,Zamora,EC,-4.0692,-78.9567,74.44,96,98,5.03,light rain
135,Iranshahr,IR,27.2025,60.6848,106.14,16,0,6.91,clear sky
136,Bathsheba,BB,13.2167,-59.5167,86.61,70,20,11.5,few clouds
137,Karratha,AU,-20.7377,116.8463,64.49,21,0,16.13,clear sky
138,Mulege,MX,26.8833,-111.9833,93.45,47,100,6.22,overcast clouds
139,Nouadhibou,MR,20.931,-17.0347,78.78,61,0,16.11,clear sky
140,Cherskiy,RU,68.75,161.3,33.44,93,66,11.95,broken clouds
141,Baykit,RU,61.67,96.37,59.22,79,94,4.03,overcast clouds
142,Tuktoyaktuk,CA,69.4541,-133.0374,53.6,87,90,8.05,overcast clouds
143,Ponta Do Sol,PT,32.6667,-17.1,81.01,73,21,4.09,few clouds
144,Sirpur,IN,19.4833,79.6,80.47,75,92,3.67,overcast clouds
145,Nevers,FR,46.9167,3.3333,72.19,57,85,4.7,overcast clouds
146,Campbell River,CA,50.0163,-125.2446,66.92,68,20,9.22,few clouds
147,Maniitsoq,GL,65.4167,-52.9,48.2,86,100,8.12,overcast clouds
148,Kibungo,RW,-2.1597,30.5427,76.12,36,62,2.28,broken clouds
149,Broome,US,42.2506,-75.833,74.7,57,1,4.0,clear sky
150,Cap Malheureux,MU,-19.9842,57.6142,67.46,65,0,3.0,clear sky
151,Antofagasta,CL,-23.65,-70.4,66.22,61,77,5.32,broken clouds
152,Shingu,JP,33.7333,135.9833,79.92,83,96,7.11,overcast clouds
153,Tarutyne,UA,46.1858,29.1506,77.43,68,28,18.84,moderate rain
154,Dunedin,NZ,-45.8742,170.5036,45.81,84,100,21.99,light rain
155,Labuhan,ID,-6.8844,112.2051,76.93,84,30,8.5,scattered clouds
156,Dingle,PH,10.9995,122.6711,78.35,84,100,8.95,overcast clouds
157,Aswan,EG,24.0934,32.907,108.7,9,0,13.8,clear sky
158,Kyaikkami,MM,16.08,97.5675,78.21,88,100,8.63,light rain
159,Dunmore Town,BS,25.5,-76.65,83.44,74,100,11.14,light rain
160,Anadyr,RU,64.75,177.4833,39.7,100,75,15.01,moderate rain
161,Avera,US,33.194,-82.5271,89.91,43,84,3.33,broken clouds
162,Ilulissat,GL,69.2167,-51.1,60.82,39,75,11.5,broken clouds
163,Sagua La Grande,CU,22.8067,-80.0756,90.59,54,100,7.7,overcast clouds
164,Port-Gentil,GA,-0.7193,8.7815,78.76,73,90,9.22,overcast clouds
165,Iqaluit,CA,63.7506,-68.5145,46.13,100,90,4.61,overcast clouds
166,Tuy Hoa,VN,13.0833,109.3,85.98,61,100,15.77,overcast clouds
167,Ahipara,NZ,-35.1667,173.1667,54.12,71,9,24.34,clear sky
168,Jiuquan,CN,39.7432,98.5174,71.62,40,3,7.14,clear sky
169,Filadelfia,US,39.9523,-75.1638,79.18,59,40,5.01,scattered clouds
170,Viedma,AR,-40.8135,-62.9967,67.32,23,30,23.04,scattered clouds
171,Samana,DO,19.2056,-69.3369,84.42,84,40,4.61,scattered clouds
172,Souillac,MU,-20.5167,57.5167,67.35,82,20,6.91,few clouds
173,Kapaa,US,22.0752,-159.319,79.12,75,90,4.0,overcast clouds
174,Olafsvik,IS,64.8945,-23.7142,53.76,82,100,2.64,overcast clouds
175,Inverell,AU,-29.7833,151.1167,57.11,94,100,4.0,overcast clouds
176,Karasjok,NO,69.4719,25.5112,57.31,55,86,5.66,overcast clouds
177,Tarnow,PL,50.0138,20.987,69.71,70,60,5.99,broken clouds
178,Ucluelet,CA,48.9329,-125.5528,73.04,78,21,4.97,few clouds
179,Lebu,CL,-37.6167,-73.65,55.85,72,45,20.56,scattered clouds
180,Tasiilaq,GL,65.6145,-37.6368,42.71,81,100,2.46,light rain
181,Ibra,OM,22.6906,58.5334,92.3,39,50,12.73,scattered clouds
182,Muravlenko,RU,63.7898,74.523,62.62,59,100,8.5,overcast clouds
183,Beringovskiy,RU,63.05,179.3167,42.82,95,100,30.58,moderate rain
184,Naugachhia,IN,25.4,87.1,81.91,86,98,5.14,overcast clouds
185,Taoudenni,ML,22.6783,-3.9836,95.45,34,56,16.96,broken clouds
186,Emerald,AU,-23.5333,148.1667,62.98,64,1,6.91,clear sky
187,Kavieng,PG,-2.5744,150.7967,82.2,78,12,13.06,light rain
188,Polyanka,UA,50.2584,27.6881,65.86,69,29,9.51,scattered clouds
189,Strezhevoy,RU,60.7333,77.5889,57.18,91,100,2.24,overcast clouds
190,Merauke,ID,-8.4667,140.3333,73.69,82,94,11.45,overcast clouds
191,Beaver Dam,US,43.4578,-88.8373,76.46,56,40,3.44,scattered clouds
192,Sobradinho,BR,-12.8333,-39.1,65.64,92,100,6.69,overcast clouds
193,Prince Rupert,CA,54.3161,-130.3201,59.09,85,90,2.3,overcast clouds
194,Yellowknife,CA,62.456,-114.3525,75.72,57,40,10.36,scattered clouds
195,Port Elizabeth,ZA,-33.918,25.5701,59.29,77,90,12.66,overcast clouds
196,Gimli,CA,50.6336,-96.9907,82.44,68,7,3.44,clear sky
197,Madang,PG,-5.2246,145.7966,77.63,90,76,3.47,broken clouds
